level,multiplier,sd_cost,sd,xl
1, 0.094, 200, 200, 0
1.5, 0.1351374318, 200, 400, 0
2, 0.16639787, 200, 600, 0
2.5, 0.192650919, 200, 800, 0
3, 0.21573247, 400, 1200, 0
3.5, 0.2365726613, 400, 1600, 0
4, 0.25572005, 400, 2000, 0
4.5, 0.2735303812, 400, 2400, 0
5, 0.29024988, 600, 3000, 0
5.5, 0.3060573775, 600, 3600, 0
6, 0.3210876, 600, 4200, 0
6.5, 0.3354450362, 600, 4800, 0
7, 0.34921268, 800, 5600, 0
7.5, 0.3624577511, 800, 6400, 0
8, 0.3752356, 800, 7200, 0
8.5, 0.387592416, 800, 8000, 0
9, 0.39956728, 1000, 9000, 0
9.5, 0.4111935514, 1000, 10000, 0
10, 0.4225, 1000, 11000, 0
10.5, 0.4329264091, 1000, 12000, 0
11, 0.44310755, 1300, 13300, 0
11.5, 0.4530599591, 1300, 14600, 0
12, 0.4627984, 1300, 15900, 0
12.5, 0.472336093, 1300, 17200, 0
13, 0.48168495, 1600, 18800, 0
13.5, 0.4908558003, 1600, 20400, 0
14, 0.49985844, 1600, 22000, 0
14.5, 0.508701765, 1600, 23600, 0
15, 0.51739395, 1900, 25500, 0
15.5, 0.5259425113, 1900, 27400, 0
16, 0.5343543, 1900, 29300, 0
16.5, 0.5426357375, 1900, 31200, 0
17, 0.5507927, 2200, 33400, 0
17.5, 0.5588305862, 2200, 35600, 0
18, 0.5667545, 2200, 37800, 0
18.5, 0.5745691333, 2200, 40000, 0
19, 0.5822789, 2500, 42500, 0
19.5, 0.5898879072, 2500, 45000, 0
20, 0.5974, 2500, 47500, 0
20.5, 0.6048236651, 2500, 50000, 0
21, 0.6121573, 3000, 53000, 0
21.5, 0.6194041216, 3000, 56000, 0
22, 0.6265671, 3000, 59000, 0
22.5, 0.6336491432, 3000, 62000, 0
23, 0.64065295, 3500, 65500, 0
23.5, 0.6475809666, 3500, 69000, 0
24, 0.65443563, 3500, 72500, 0
24.5, 0.6612192524, 3500, 76000, 0
25, 0.667934, 4000, 80000, 0
25.5, 0.6745818959, 4000, 84000, 0
26, 0.6811649, 4000, 88000, 0
26.5, 0.6876849038, 4000, 92000, 0
27, 0.69414365, 4500, 96500, 0
27.5, 0.70054287, 4500, 101000, 0
28, 0.7068842, 4500, 105500, 0
28.5, 0.7131691091, 4500, 110000, 0
29, 0.7193991, 5000, 115000, 0
29.5, 0.7255756136, 5000, 120000, 0
30, 0.7317, 5000, 125000, 0
30.5, 0.7347410093, 5000, 130000, 0
31, 0.7377695, 6000, 136000, 0
31.5, 0.7407855938, 6000, 142000, 0
32, 0.74378943, 6000, 148000, 0
32.5, 0.7467812109, 6000, 154000, 0
33, 0.74976104, 7000, 161000, 0
33.5, 0.7527290867, 7000, 168000, 0
34, 0.7556855, 7000, 175000, 0
34.5, 0.7586303683, 7000, 182000, 0
35, 0.76156384, 8000, 190000, 0
35.5, 0.7644860647, 8000, 198000, 0
36, 0.76739717, 8000, 206000, 0
36.5, 0.7702972656, 8000, 214000, 0
37, 0.7731865, 9000, 223000, 0
37.5, 0.7760649616, 9000, 232000, 0
38, 0.77893275, 9000, 241000, 0
38.5, 0.7817900548, 9000, 250000, 0
39, 0.784637, 10000, 260000, 0
39.5, 0.7874736075, 10000, 270000, 0
40, 0.7903, 10000, 280000, 10
40.5, 0.792803968, 10000, 290000, 20
41, 0.79530001, 11000, 301000, 30
41.5, 0.797800015, 11000, 312000, 40
42, 0.8003, 11000, 323000, 52
42.5, 0.802799995, 11000, 334000, 64
43, 0.8053, 12000, 346000, 76
43.5, 0.8078, 12000, 358000, 88
44, 0.81029999, 12000, 370000, 103
44.5, 0.812799985, 12000, 382000, 118
45, 0.81529999, 13000, 395000, 133
45.5, 0.81779999, 13000, 408000, 148
46, 0.82029999, 13000, 421000, 165
46.5, 0.82279999, 13000, 434000, 182
47, 0.82529999, 14000, 448000, 199
47.5, 0.82779999, 14000, 462000, 216
48, 0.83029999, 14000, 476000, 236
48.5, 0.83279999, 14000, 490000, 256
49, 0.83529999, 15000, 505000, 276
49.5, 0.83779999, 15000, 520000, 296
50, 0.84029999, 0, 520000, 296
50.5, 0.84279999, 0, 0, 0
51, 0.84529999, 0, 0, 0
