Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Staryu,,120,,644,66,,,,86.7,20.0,20.0,Water Gun,,,"2023-06-06 11:49",,38.3kg,0.71m,0,0,0,2500,46.48%,1971,95.04%,2500,52,Starmie,,0,24.42%,2879,95.04%,196000,256,Starmie,,0,,,,,,,,,
2,Kleavor,,900,♀,1740,109,,,,75.1,20.0,20.0,Quick Attack,,,"2023-06-06 11:48",,104.76kg,1.89m,0,0,0,2500,,,,,,,,,43.17%,1330,96.53%,60500,54,Kleavor,,0,,,,,,,,,
3,Kleavor,,900,♀,1751,110,13,10,13,80.0,20.0,20.0,Air Slash,,,"2023-06-06 10:50",,82.86kg,1.75m,0,0,0,2500,,,,,,,,,61.61%,1573,96.29%,60500,54,Kleavor,,0,,,,,,,,,
4,Kleavor,,900,♀,1754,109,,,,82.2,20.0,20.0,Quick Attack,,,"2023-06-06 10:50",,117.34kg,2.11m,0,0,0,2500,,,,,,,,,85.78%,501,97.49%,60500,54,Kleavor,,0,,,,,,,,,
5,Kleavor,,900,♀,1759,111,,,,84.4,20.0,20.0,Quick Attack,,,"2023-06-06 10:50",,77.13kg,1.65m,0,0,0,2500,,,,,,,,,37.90%,1563,96.30%,56000,50,Kleavor,,0,,,,,,,,,
6,Kleavor,,900,♀,1772,111,,,,88.9,20.0,20.0,Quick Attack,,,"2023-06-06 10:50",,63.54kg,1.64m,0,0,0,2500,,,,,,,,,56.40%,1675,96.20%,56000,50,Kleavor,,0,,,,,,,,,
7,Kleavor,,900,♂,2210,124,,,,88.9,25.0,25.0,Air Slash,,,"2023-06-06 10:50",,129.75kg,2.22m,0,0,0,4000,,,,,,,,,64.40%,1350,96.51%,25000,22,Kleavor,,0,,,,,,,,,
8,Regieleki,,894,,1559,119,,,,80.0,20.0,20.0,Lock-On,,,"2023-06-06 10:50",,146.53kg,1.28m,0,0,0,2500,,,,,,,,,63.88%,969,96.93%,123000,114,Regieleki,,0,,,,,,,,,
9,Regieleki,,894,,1561,120,,,,82.2,20.0,20.0,Lock-On,,,"2023-06-06 10:50",,288.26kg,1.65m,0,0,0,2500,,,,,,,,,62.16%,1020,96.87%,123000,114,Regieleki,,0,,,,,,,,,
10,Melmetal,,809,,1514,142,,,,83.3,15.0,15.0,Thunder Shock,Double Iron Bash,,"2023-06-06 10:50",,1148.36kg,2.97m,0,0,0,1900,,,,,,,,,35.26%,2357,95.45%,48900,45,Melmetal,,0,,,,,,,,,
11,Meltan,,808,,447,73,,,,89.6,15.0,15.0,,,,"2023-06-06 10:49",,8.32kg,0.18m,0,0,0,1900,99.19%,19,97.68%,496400,268,Meltan,,0,70.09%,882,96.92%,48900,445,Melmetal,,0,42.82%,2134,91.86%,5700,6,Meltan,,0,
12,Tapu Fini,,788,,1580,111,,,,74.7,20.0,20.0,Water Gun,Ice Beam,,"2023-06-06 10:49",,23.66kg,1.29m,0,0,0,2500,,,,,,,,,48.09%,977,97.20%,109000,98,Tapu Fini,,0,,,,,,,,,
13,Tapu Fini,,788,,1580,109,,,,73.9,20.0,20.0,Hidden Power,Hydro Pump,,"2023-06-06 10:49",,16.99kg,1.19m,0,0,0,2500,,,,,,,,,35.15%,1731,96.41%,109000,98,Tapu Fini,,0,,,,,,,,,
14,Tapu Fini,,788,,1581,110,,,,72.6,20.0,20.0,Hidden Power,Ice Beam,,"2023-06-06 10:49",,25.3kg,1.52m,0,0,0,2500,,,,,,,,,33.26%,1510,96.62%,109000,98,Tapu Fini,,0,,,,,,,,,
15,Tapu Fini,,788,,1582,111,,,,72.4,20.0,20.0,Hidden Power,Surf,,"2023-06-06 10:49",,18.47kg,1.13m,0,0,0,2500,,,,,,,,,42.27%,1188,96.96%,109000,98,Tapu Fini,,0,,,,,,,,,
