Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Kleavor,,900,♀,1740,109,,,,75.1,20.0,20.0,Quick Attack,,,"2023-05-15 04:35",,104.76kg,1.89m,0,0,0,2500,,,,,,,,,43.17%,1330,96.53%,60500,54,Kleavor,,0,,,,,,,,,
2,Kleavor,,900,♀,1751,110,13,10,13,80.0,20.0,20.0,Air Slash,,,"2023-05-15 04:03",,82.86kg,1.75m,0,0,0,2500,,,,,,,,,61.61%,1573,96.29%,60500,54,Kleavor,,0,,,,,,,,,
3,Kleavor,,900,♀,1754,109,,,,82.2,20.0,20.0,Quick Attack,,,"2023-05-15 04:03",,117.34kg,2.11m,0,0,0,2500,,,,,,,,,85.78%,501,97.49%,60500,54,Kleavor,,0,,,,,,,,,
4,Kleavor,,900,♀,1759,111,,,,84.4,20.0,20.0,Quick Attack,,,"2023-05-15 04:03",,77.13kg,1.65m,0,0,0,2500,,,,,,,,,37.90%,1563,96.30%,56000,50,Kleavor,,0,,,,,,,,,
5,Kleavor,,900,♀,1772,111,,,,88.9,20.0,20.0,Quick Attack,,,"2023-05-15 04:03",,63.54kg,1.64m,0,0,0,2500,,,,,,,,,56.40%,1675,96.20%,56000,50,Kleavor,,0,,,,,,,,,
6,Kleavor,,900,♂,2210,124,,,,88.9,25.0,25.0,Air Slash,,,"2023-05-15 04:03",,129.75kg,2.22m,0,0,0,4000,,,,,,,,,64.40%,1350,96.51%,25000,22,Kleavor,,0,,,,,,,,,
7,Regieleki,,894,,1559,119,,,,80.0,20.0,20.0,Lock-On,,,"2023-05-15 04:02",,146.53kg,1.28m,0,0,0,2500,,,,,,,,,63.88%,969,96.93%,123000,114,Regieleki,,0,,,,,,,,,
8,Regieleki,,894,,1561,120,,,,82.2,20.0,20.0,Lock-On,,,"2023-05-15 04:02",,288.26kg,1.65m,0,0,0,2500,,,,,,,,,62.16%,1020,96.87%,123000,114,Regieleki,,0,,,,,,,,,
9,Melmetal,,809,,1514,142,,,,83.3,15.0,15.0,Thunder Shock,Double Iron Bash,,"2023-05-15 04:02",,1148.36kg,2.97m,0,0,0,1900,,,,,,,,,35.26%,2357,95.45%,48900,45,Melmetal,,0,,,,,,,,,
10,Meltan,,808,,447,73,,,,89.6,15.0,15.0,,,,"2023-05-15 04:02",,8.32kg,0.18m,0,0,0,1900,99.19%,19,97.68%,496400,268,Meltan,,0,70.09%,882,96.92%,48900,445,Melmetal,,0,42.82%,2134,91.86%,5700,6,Meltan,,0,
11,Tapu Fini,,788,,1580,109,11,14,11,80.0,20.0,20.0,Hidden Power,Hydro Pump,,"2023-05-15 04:02",5/14/2023,16.99kg,119m,0,0,0,2500,,,,,,,,,57.75%,1731,96.41%,109000,98,Tapu Fini,,0,,,,,,,,,
12,Tapu Fini,,788,,1582,111,,,,72.4,20.0,20.0,Hidden Power,Surf,,"2023-05-15 04:02",,18.47kg,1.13m,0,0,0,2500,,,,,,,,,42.27%,1188,96.96%,109000,98,Tapu Fini,,0,,,,,,,,,
13,Tapu Fini,,788,,1583,110,11,12,13,80.0,20.0,20.0,Hidden Power,Moonblast,,"2023-05-15 04:02",,20.66kg,1.32m,0,0,0,2500,,,,,,,,,57.24%,1752,96.39%,109000,98,Tapu Fini,,0,,,,,,,,,
14,Tapu Fini,,788,,1585,109,,,,76.7,20.0,20.0,Hidden Power,Moonblast,,"2023-05-15 04:02",,12.21kg,0.98m,0,0,0,2500,,,,,,,,,44.82%,1611,96.53%,109000,98,Tapu Fini,,0,,,,,,,,,
15,Tapu Fini,,788,,1591,109,,,,79.3,20.0,20.0,Water Gun,Surf,,"2023-05-15 04:02",,30.99kg,1.49m,0,0,0,2500,,,,,,,,,29.39%,2385,95.77%,103000,92,Tapu Fini,,0,,,,,,,,,
16,Tapu Fini,,788,,1597,110,12,14,13,86.7,20.0,20.0,Hidden Power,Moonblast,,"2023-05-15 04:02",,32.05kg,161m,0,0,0,2500,,,,,,,,,67.67%,1325,96.82%,103000,92,Tapu Fini,,0,,,,,,,,,
17,Tapu Fini,,788,,1598,111,,,,84.4,20.0,20.0,Hidden Power,Moonblast,,"2023-05-15 04:02",,33.16kg,1.62m,0,0,0,2500,,,,,,,,,55.65%,1671,96.46%,103000,92,Tapu Fini,,0,,,,,,,,,
18,Tapu Fini,,788,,1603,109,,,,85.6,20.0,20.0,Water Gun,Surf,,"2023-05-15 04:02",,14.32kg,098m,0,0,0,2500,,,,,,,,,29.01%,2675,95.48%,97000,86,Tapu Fini,,0,,,,,,,,,
19,Tapu Fini,,788,,1625,111,15,14,14,95.6,20.0,20.0,Water Gun,Hydro Pump,,"2023-05-15 04:01",,,154m,0,0,0,2500,,,,,,,,,47.45%,2153,95.99%,91000,80,Tapu Fini,,0,,,,,,,,,
20,Tapu Bulu,,787,,1899,111,,,,77.0,20.0,20.0,Bullet Seed,,,"2023-05-15 04:01",,43.02kg,2.02m,0,0,0,2500,,,,,,,,,44.49%,1802,95.85%,39000,34,Tapu Bulu,,0,,,,,,,,,
21,Tapu Bulu,,787,,1912,111,,,,83.0,20.0,20.0,Rock Smash,,,"2023-05-15 04:01",,37.83kg,1.92m,0,0,0,2500,,,,,,,,,70.31%,427,97.47%,39000,34,Tapu Bulu,,0,,,,,,,,,
22,Tapu Bulu,,787,,1918,111,,,,84.4,20.0,20.0,Bullet Seed,,,"2023-05-15 04:01",,31.76kg,1.46m,0,0,0,2500,,,,,,,,,71.15%,710,97.02%,39000,34,Tapu Bulu,,0,,,,,,,,,
23,Tapu Bulu,,787,,1925,111,,,,87.8,20.0,20.0,Bullet Seed,Solar Beam,,"2023-05-15 04:01",,39.18kg,1.6m,0,0,0,2500,,,,,,,,,26.25%,2952,94.76%,35000,31,Tapu Bulu,,0,,,,,,,,,
24,Tapu Bulu,,787,,2374,124,,,,77.0,25.0,25.0,Rock Smash,,,"2023-05-15 04:01",,13.62kg,0.93m,0,0,0,4000,,,,,,,,,44.49%,1802,95.85%,8000,6,Tapu Bulu,,0,,,,,,,,,
25,Tapu Bulu,,787,,2409,123,14,13,13,88.9,25.0,25.0,Rock Smash,,,"2023-05-15 04:01",,54.46kg,2.26m,0,0,0,4000,,,,,,,,,19.46%,3299,94.36%,4000,3,Tapu Bulu,,0,,,,,,,,,
26,Tapu Bulu,,787,,2422,122,15,15,12,93.3,25.0,25.0,Rock Smash,,,"2023-05-15 04:01",,64.24kg,2.19m,0,0,0,4000,,,,,,,,,48.03%,2129,95.55%,4000,3,Tapu Bulu,,0,,,,,,,,,
27,Tapu Lele,,786,,1947,111,,,,80.6,20.0,20.0,Confusion,,,"2023-05-15 04:01",,22.96kg,1.28m,0,0,0,2500,,,,,,,,,72.39%,435,97.62%,35000,31,Tapu Lele,,0,,,,,,,,,
28,Tapu Lele,,786,,1957,109,13,13,12,84.4,20.0,20.0,Confusion,,,"2023-05-15 04:01",2/9/2023,19.51kg,1.26m,0,0,0,2500,,,,,,,,,86.13%,569,97.41%,35000,31,Tapu Lele,,0,,,,,,,,,
29,Tapu Lele,,786,,2453,122,15,11,12,84.4,25.0,25.0,Astonish,,,"2023-05-15 04:01",,20.03kg,1.28m,0,0,0,4000,,,,,,,,,7.55%,3787,93.79%,0,0,Tapu Lele,,0,,,,,,,,,
30,Tapu Lele,,786,,2459,124,,,,88.9,25.0,25.0,Confusion,,,"2023-05-15 04:01",,9.69kg,0.91m,0,0,0,4000,,,,,,,,,32.44%,2220,95.65%,0,0,Tapu Lele,,0,,,,,,,,,
31,Tapu Lele,,786,,2476,122,15,15,12,93.3,25.0,25.0,Confusion,,,"2023-05-15 04:00",,22.62kg,1.33m,0,0,0,4000,,,,,,,,,41.88%,2381,95.50%,0,0,Tapu Lele,,0,,,,,,,,,
32,Tapu Koko,,785,,1747,108,,,,72.9,20.0,20.0,Quick Attack,,,"2023-05-15 04:00",,17.07kg,1.6m,0,0,0,2500,,,,,,,,,58.10%,645,97.22%,60500,54,Tapu Koko,,0,,,,,,,,,
33,Tapu Koko,,785,,1760,110,,,,81.1,20.0,20.0,Volt Switch,,,"2023-05-15 04:00",,32.46kg,2.15m,0,0,0,2500,,,,,,,,,43.49%,1929,95.89%,56000,50,Tapu Koko,,0,,,,,,,,,
34,Tapu Koko,,785,,1771,109,12,14,12,84.4,20.0,20.0,Quick Attack,,,"2023-05-15 04:00",,22.75kg,1.9m,0,0,0,2500,,,,,,,,,68.69%,1283,96.50%,56000,50,Tapu Koko,,0,,,,,,,,,
35,Tapu Koko,,785,,1790,111,12,15,15,93.3,20.0,20.0,Volt Switch,,,"2023-05-15 04:00",,32.85kg,2.14m,0,0,0,2500,,,,,,,,,55.97%,1804,96.00%,51500,46,Tapu Koko,,0,,,,,,,,,
36,Tapu Koko,,785,,2489,131,15,15,15,100.0,27.5,27.5,Quick Attack,,,"2023-05-15 04:00",,29.73kg,2.23m,0,0,0,4500,,,,,,,,,81.71%,750,97.10%,0,0,Tapu Koko,,0,,,,,,,,,
37,Hakamo-o,,783,♂,932,96,,,,81.1,20.0,20.0,,,,"2023-05-15 04:00",,59.15kg,1.27m,0,0,0,2500,38.11%,2338,94.79%,123000,114,Hakamo-o,,0,81.51%,626,97.31%,47000,142,Kommo-o,,0,,,,,,,,,
