name, CP, IV,atk,def,sta,little,great,ultra
Swinub , 54 , 0.78 , 10 , 10 , 15 , 0.91 , 0.95 , 0.96
Swinub , 537 , 0.84 , 10 , 13 , 15 , 0.94 , 0.97 , 0.95
Swinub , 527 , 0.89 , 11 , 15 , 14 , 0.91 , 0.92 , 0.96
Swinub , 519 , 0.87 , 9 , 15 , 15 , 0.95 , 0.98 , 0.95
Swinub , 46 , 0.80 , 7 , 15 , 14 , 0.93 , 0.96 , 0.98
Swinub , 438 , 0.69 , 9 , 8 , 14 , 0.92 , 0.93 , 0.94
Swinub , 429 , 0.58 , 1 , 12 , 13 , 0.94 , 0.97 , 0.99
Swinub , 402 , 0.58 , 5 , 9 , 12 , 0.93 , 0.97 , 0.98
Swinub , 335 , 0.76 , 10 , 14 , 10 , 0.92 , 0.96 , 0.97
Swinub , 314 , 0.78 , 9 , 14 , 12 , 0.92 , 0.96 , 0.97
Swinub , 305 , 0.91 , 11 , 15 , 15 , 0.91 , 0.92 , 0.96
Swinub , 303 , 0.87 , 11 , 15 , 13 , 0.90 , 0.92 , 0.96
Swinub , 300 , 0.82 , 11 , 14 , 12 , 0.89 , 0.97 , 0.95
Swinub , 290 , 0.76 , 8 , 12 , 14 , 0.90 , 0.95 , 0.97
Swinub , 288 , 0.64 , 0 , 14 , 15 , 0.96 , 0.99 , 0.95
Swinub , 26 , 0.42 , 4 , 11 , 4 , 0.95 , 0.94 , 0.96
Swinub , 254 , 0.31 , 0 , 10 , 4 , 0.94 , 0.97 , 0.94
Swinub , 235 , 0.71 , 10 , 15 , 7 , 0.91 , 0.95 , 0.96
Swinub , 227 , 0.49 , 2 , 6 , 14 , 0.93 , 0.94 , 0.96
Swinub , 2 , 0.56 , 4 , 12 , 9 , 0.94 , 0.97 , 0.98
Swinub , 188 , 0.64 , 8 , 9 , 12 , 0.91 , 0.92 , 0.94
Swinub , 178 , 0.58 , 2 , 9 , 15 , 0.92 , 0.96 , 0.98
