Ivysaur , 1038 , 0.84 , 13 , 11 , 14 , 0.93 , 0.71 , 0.35
Venusaur , 1546 , 0.96 , 15 , 15 , 13 , 0.87 , 0.74 , 0.37
Charmander , 404 , 0.89 , 10 , 15 , 15 , 0.93 , 0.60 , 0.29
Charmeleon , 936 , 0.96 , 14 , 15 , 14 , 0.95 , 0.61 , 0.30
Charizard , 1982 , 0.71 , 11 , 10 , 11 , 0.94 , 0.56 , 0.27
Charizard , 1622 , 0.87 , 14 , 11 , 14 , 0.91 , 0.59 , 0.29
Squirtle , 478 , 0.49 , 1 , 13 , 8 , 0.92 , 0.48 , 0.23
Squirtle , 12 , 0.80 , 10 , 14 , 12 , 0.90 , 0.55 , 0.27
Blastoise , 703 , 0.98 , 15 , 15 , 14 , 0.89 , 0.59 , 0.28
Caterpie , 349 , 0.87 , 14 , 14 , 11 , 0.78 , 0.22 , 0.14
Caterpie , 121 , 0.64 , 4 , 10 , 15 , 0.65 , 0.18 , 0.12
Caterpie , 24 , 0.53 , 0 , 10 , 14 , 0.60 , 0.17 , 0.11
Metapod , 19 , 0.96 , 15 , 14 , 14 , 0.81 , 0.23 , 0.14
Weedle , 281 , 0.53 , 8 , 1 , 15 , 0.62 , 0.16 , 0.10
Weedle , 239 , 0.87 , 15 , 12 , 12 , 0.80 , 0.21 , 0.13
Weedle , 181 , 0.71 , 6 , 14 , 12 , 0.74 , 0.20 , 0.12
Weedle , 120 , 0.47 , 0 , 12 , 9 , 0.64 , 0.17 , 0.10
Weedle , 108 , 0.84 , 11 , 12 , 15 , 0.78 , 0.21 , 0.13
Beedrill , 232 , 0.71 , 3 , 15 , 14 , 0.73 , 0.19 , 0.12
Pidgey , 10 , 0.71 , 5 , 12 , 15 , 0.97 , 0.32 , 0.16
Rattata , 434 , 0.42 , 2 , 6 , 11 , 0.92 , 0.30 , 0.20
Raticate , 1046 , 0.64 , 9 , 12 , 8 , 0.92 , 0.33 , 0.23
Spearow , 589 , 0.76 , 15 , 4 , 15 , 0.87 , 0.38 , 0.21
Spearow , 466 , 0.60 , 4 , 15 , 8 , 0.94 , 0.39 , 0.21
Spearow , 241 , 0.60 , 2 , 15 , 10 , 0.93 , 0.38 , 0.21
Spearow , 192 , 0.84 , 8 , 15 , 15 , 0.96 , 0.42 , 0.23
Spearow , 139 , 0.64 , 5 , 12 , 12 , 0.93 , 0.38 , 0.21
Spearow , 10 , 0.67 , 2 , 15 , 13 , 0.96 , 0.39 , 0.22
Ekans , 63 , 0.36 , 1 , 4 , 11 , 0.92 , 0.45 , 0.26
Ekans , 394 , 0.53 , 4 , 15 , 5 , 0.93 , 0.48 , 0.28
Arbok , 600 , 0.96 , 15 , 13 , 15 , 0.93 , 0.57 , 0.33
Pikachu , 492 , 0.60 , 1 , 15 , 11 , 0.97 , 0.54 , 0.26
Pikachu , 105 , 0.38 , 0 , 6 , 11 , 0.95 , 0.49 , 0.23
Pikachu , 480 , 0.64 , 5 , 10 , 14 , 0.92 , 0.54 , 0.26
Pikachu , 447 , 0.69 , 12 , 6 , 13 , 0.93 , 0.55 , 0.26
Pikachu , 657 , 0.60 , 1 , 15 , 11 , 0.97 , 0.54 , 0.26
Pikachu , 39 , 0.93 , 15 , 15 , 12 , 0.88 , 0.61 , 0.29
Pikachu , 392 , 0.91 , 13 , 14 , 14 , 0.94 , 0.60 , 0.29
Pikachu , 395 , 0.96 , 13 , 15 , 15 , 0.88 , 0.61 , 0.29
Pikachu , 389 , 0.87 , 13 , 15 , 11 , 0.93 , 0.59 , 0.28
Pikachu , 41 , 0.93 , 15 , 13 , 14 , 0.87 , 0.61 , 0.29
Pikachu , 584 , 0.78 , 12 , 12 , 11 , 0.90 , 0.57 , 0.27
Raichu , 1209 , 0.80 , 13 , 11 , 12 , 0.90 , 0.58 , 0.28
Sandshrew , 1063 , 0.71 , 10 , 9 , 13 , 0.87 , 0.84 , 0.39
Sandshrew , 542 , 0.67 , 13 , 7 , 10 , 0.86 , 0.83 , 0.38
Sandshrew , 437 , 0.44 , 2 , 3 , 15 , 0.97 , 0.76 , 0.35
Sandshrew , 15 , 0.56 , 2 , 10 , 13 , 0.92 , 0.79 , 0.37
Sandshrew , 286 , 0.91 , 14 , 14 , 13 , 0.93 , 0.90 , 0.42
Sandshrew , 250 , 0.38 , 1 , 14 , 2 , 0.96 , 0.75 , 0.35
Sandshrew , 250 , 0.96 , 15 , 15 , 13 , 0.85 , 0.91 , 0.42
Sandslash , 1574 , 0.87 , 15 , 13 , 11 , 0.92 , 0.88 , 0.41
Nidoqueen , 1481 , 0.96 , 14 , 15 , 14 , 0.89 , 0.49 , 0.24
Nidoking , 1779 , 0.78 , 13 , 12 , 10 , 0.91 , 0.47 , 0.23
Clefairy , 638 , 0.89 , 12 , 13 , 15 , 0.84 , 0.83 , 0.38
Clefable , 1709 , 0.67 , 7 , 15 , 8 , 0.86 , 0.77 , 0.36
Clefable , 1400 , 0.49 , 4 , 8 , 10 , 0.88 , 0.72 , 0.33
Vulpix , 521 , 0.82 , 9 , 14 , 14 , 0.95 , 0.51 , 0.24
Vulpix , 470 , 0.31 , 0 , 10 , 4 , 0.95 , 0.41 , 0.20
Vulpix , 416 , 0.87 , 14 , 12 , 13 , 0.91 , 0.52 , 0.25
Vulpix , 359 , 0.80 , 12 , 11 , 13 , 0.88 , 0.50 , 0.24
Vulpix , 335 , 0.82 , 11 , 14 , 12 , 0.89 , 0.51 , 0.24
Vulpix , 332 , 0.80 , 10 , 14 , 12 , 0.95 , 0.50 , 0.24
Vulpix , 292 , 0.60 , 7 , 13 , 7 , 0.94 , 0.47 , 0.22
Vulpix , 28 , 0.76 , 13 , 11 , 10 , 0.87 , 0.50 , 0.24
Vulpix , -236 , 0.80 , 9 , 15 , 12 , 0.95 , 0.50 , 0.24
Vulpix , 187 , 0.78 , 11 , 10 , 14 , 0.94 , 0.50 , 0.24
Vulpix , 164 , 0.73 , 15 , 10 , 8 , 0.86 , 0.49 , 0.23
Vulpix , 151 , 0.60 , 5 , 7 , 15 , 0.93 , 0.46 , 0.22
Vulpix , 5 , 0.56 , 4 , 8 , 13 , 0.92 , 0.46 , 0.22
Ninetales , 1252 , 0.76 , 11 , 11 , 12 , 0.93 , 0.50 , 0.24
Jigglypuff , 624 , 0.89 , 12 , 14 , 14 , 0.92 , 0.41 , 0.24
Jigglypuff , 408 , 0.96 , 14 , 15 , 14 , 0.90 , 0.42 , 0.25
Wigglytuff , 1486 , 1.00 , 15 , 15 , 15 , 0.91 , 0.43 , 0.25
Zubat , 393 , 0.56 , 0 , 12 , 13 , 0.98 , 0.29 , 0.14
Zubat , 230 , 0.82 , 9 , 14 , 14 , 0.94 , 0.33 , 0.16
Zubat , 198 , 0.53 , 8 , 8 , 8 , 0.92 , 0.29 , 0.14
Zubat , 138 , 0.80 , 8 , 14 , 14 , 0.93 , 0.33 , 0.16
Zubat , 105 , 0.36 , 3 , 12 , 1 , 0.95 , 0.27 , 0.13
Golbat , 193 , 0.36 , 0 , 6 , 10 , 0.96 , 0.26 , 0.13
Oddish , 1047 , 0.73 , 12 , 12 , 9 , 0.89 , 0.73 , 0.35
Oddish , 444 , 0.87 , 14 , 12 , 13 , 0.83 , 0.76 , 0.36
Oddish , 234 , 0.24 , 4 , 4 , 3 , 0.82 , 0.62 , 0.29
Vileplume , 1421 , 0.84 , 10 , 13 , 15 , 0.83 , 0.76 , 0.36
Parasect , 792 , 0.96 , 15 , 14 , 14 , 0.92 , 0.63 , 0.39
Venonat , 4 , 0.84 , 8 , 15 , 15 , 0.92 , 0.71 , 0.37
Diglett , 450 , 0.58 , 1 , 11 , 14 , 0.93 , 0.29 , 0.23
Diglett , 383 , 0.71 , 5 , 14 , 13 , 0.93 , 0.30 , 0.24
Diglett , 33 , 0.76 , 7 , 14 , 13 , 0.95 , 0.31 , 0.24
Diglett , 321 , 0.78 , 7 , 13 , 15 , 0.91 , 0.31 , 0.25
Diglett , 309 , 0.49 , 1 , 9 , 12 , 0.95 , 0.27 , 0.22
Diglett , 210 , 0.73 , 4 , 14 , 15 , 0.94 , 0.31 , 0.24
Diglett , 1 , 0.67 , 3 , 15 , 12 , 0.96 , 0.30 , 0.24
Diglett , 145 , 0.87 , 11 , 13 , 15 , 0.94 , 0.32 , 0.26
Diglett , 143 , 0.82 , 8 , 14 , 15 , 0.93 , 0.32 , 0.25
Diglett , 9 , 0.62 , 1 , 13 , 14 , 0.95 , 0.29 , 0.23
Diglett , 92 , 0.42 , 0 , 8 , 11 , 0.94 , 0.26 , 0.21
Diglett , 90 , 0.96 , 14 , 14 , 15 , 0.92 , 0.33 , 0.27
Diglett , 28 , 0.84 , 9 , 14 , 15 , 0.93 , 0.32 , 0.25
Diglett , 28 , 0.89 , 12 , 14 , 14 , 0.89 , 0.32 , 0.26
Diglett , 2 , 0.71 , 5 , 15 , 12 , 0.93 , 0.30 , 0.24
Diglett , 10 , 1.00 , 15 , 15 , 15 , 0.88 , 0.34 , 0.27
Diglett , 232 , 0.73 , 8 , 11 , 14 , 0.93 , 0.30 , 0.24
Dugtrio , 1139 , 0.91 , 11 , 15 , 15 , 0.91 , 0.33 , 0.26
Dugtrio , 1100 , 0.56 , 4 , 9 , 12 , 0.91 , 0.28 , 0.22
Dugtrio , 296 , 0.87 , 9 , 15 , 15 , 0.94 , 0.32 , 0.26
Meowth , 426 , 0.78 , 5 , 15 , 15 , 0.94 , 0.38 , 0.27
Meowth , 84 , 0.49 , 2 , 11 , 9 , 0.93 , 0.34 , 0.24
